neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Centro,Cortes,40.4173190028018,-3.69799015577314,Private room,42,1,127,3,14,341
Centro,Universidad,40.4249786850757,-3.70260808626189,Entire home/apt,66,2,73,1.82,5,308
Centro,Palacio,40.4120574508639,-3.70914899306312,Entire home/apt,72,2,119,2.79,12,6
Centro,Sol,40.4148902538513,-3.70387779073994,Entire home/apt,57,2,89,2.13,2,290
Retiro,Niño Jesús,40.4101938250998,-3.67179469842952,Entire home/apt,3000,5,0,0,12,0
Centro,Sol,40.4174653701404,-3.70464112651054,Entire home/apt,79,2,148,3.72,3,224
Moncloa - Aravaca,Argüelles,40.4205467086341,-3.71623235842665,Entire home/apt,40,4,20,0.48,1,219
Moratalaz,Media Legua,40.4070152337563,-3.6537096069613,Entire home/apt,110,3,17,0.68,5,337
Centro,Cortes,40.4134570582468,-3.70112577908057,Entire home/apt,85,2,66,1.63,1,141
Chamberí,Almagro,40.4312116494646,-3.69661536402749,Entire home/apt,77,1,0,0,1,242
Arganzuela,Palos de Moguer,40.4019090971208,-3.6909739128162,Entire home/apt,75,3,20,0.6,2,251
Centro,Justicia,40.4226961259912,-3.69664450119743,Entire home/apt,50,3,150,3.59,3,298
Ciudad Lineal,Colina,40.4571201683619,-3.65569294784129,Entire home/apt,50,3,81,1.93,1,50
Centro,Embajadores,40.4078848827725,-3.70478550224594,Entire home/apt,67,3,160,3.78,4,307
Centro,Palacio,40.4155666089801,-3.71035384470989,Entire home/apt,45,3,71,1.7,1,287
Centro,Embajadores,40.4096914511942,-3.70269382339436,Entire home/apt,50,2,71,1.97,1,335
Chamberí,Rios Rosas,40.4408606536206,-3.698207455933,Private room,50,1,1,0.03,1,363
Chamberí,Rios Rosas,40.4419817844651,-3.69965177425932,Private room,55,3,2,0.08,1,364
Centro,Sol,40.4188092463617,-3.70129295785637,Entire home/apt,45,2,215,5.42,1,105
Centro,Sol,40.4152504954368,-3.70419647231435,Entire home/apt,70,2,213,5.01,8,283
Moncloa - Aravaca,El Plantío,40.4717503879408,-3.8224031461447,Private room,40,1,0,0,1,365
Carabanchel,Puerta Bonita,40.3850562413642,-3.7327834405618,Entire home/apt,59,2,55,2.48,1,56
Arganzuela,Palos de Moguer,40.4038829778636,-3.69561250016186,Entire home/apt,70,6,36,1.19,5,113
Centro,Universidad,40.4256586851747,-3.70502068573918,Entire home/apt,64,26,17,0.44,2,189
Centro,Universidad,40.4270699923365,-3.70160662388999,Entire home/apt,195,1,3,0.1,14,312
Centro,Justicia,40.428124472449,-3.7007878868022,Entire home/apt,195,1,0,0,14,290
Centro,Justicia,40.4267136952233,-3.69985450348783,Entire home/apt,195,1,0,0,14,290
Centro,Universidad,40.4270345858475,-3.70163950019742,Entire home/apt,185,1,0,0,14,275
Centro,Justicia,40.4276045423683,-3.70006709030619,Entire home/apt,185,1,0,0,14,253
Centro,Universidad,40.4243693689046,-3.70113402547783,Entire home/apt,50,2,90,4.34,5,315
Centro,Universidad,40.4220001863215,-3.70135940659742,Entire home/apt,79,3,8,0.23,18,256
Centro,Palacio,40.4109587611631,-3.71118059484474,Entire home/apt,52,2,40,1.09,1,281
Centro,Universidad,40.4228477435558,-3.70738707740352,Entire home/apt,75,6,5,0.21,1,312
Centro,Embajadores,40.4115119220934,-3.70264853230868,Entire home/apt,55,3,86,2.13,1,9
Ciudad Lineal,Costillares,40.4765492031111,-3.67195740468435,Entire home/apt,85,25,6,0.15,2,365
Centro,Universidad,40.4264154136341,-3.70462685779312,Entire home/apt,70,2,6,0.14,9,65
Chamberí,Trafalgar,40.4320194454202,-3.70161643369506,Entire home/apt,130,2,35,0.97,2,279
Centro,Universidad,40.4230832016588,-3.70569063798506,Entire home/apt,73,2,343,8.31,1,36
Tetuán,Almenara,40.4691069067636,-3.69017858656162,Private room,36,1,42,1.7,1,112
Centro,Sol,40.4154905375082,-3.70686627481869,Entire home/apt,125,2,6,0.25,2,25
Centro,Justicia,40.4239608347558,-3.69638918431578,Entire home/apt,65,5,4,0.1,1,281
Carabanchel,San Isidro,40.3935596292079,-3.7371838263909,Entire home/apt,80,5,21,0.5,1,42
Centro,Universidad,40.4257816067172,-3.70931107100023,Entire home/apt,70,4,84,2.02,1,195
Centro,Cortes,40.4176853311304,-3.6990454130197,Private room,39,7,14,0.45,2,306
Centro,Embajadores,40.4118223150708,-3.70578211504212,Entire home/apt,68,2,213,5.06,5,301
Chamberí,Almagro,40.428875158939,-3.69482319838618,Private room,33,4,7,0.2,25,365
Centro,Universidad,40.4260585442999,-3.7025164191709,Entire home/apt,92,2,47,1.14,3,248
Centro,Cortes,40.4179349019833,-3.69736899624289,Private room,32,1,114,2.71,14,349
Centro,Cortes,40.414950024266,-3.69716833641175,Entire home/apt,450,2,30,0.71,8,241
Ciudad Lineal,Ventas,40.4223852149673,-3.65350549501919,Entire home/apt,38,1,12,0.5,9,354
Salamanca,Recoletos,40.421549163604,-3.68400994828503,Entire home/apt,115,7,4,0.13,28,41
Centro,Cortes,40.4130215077137,-3.69423195242232,Entire home/apt,60,2,12,0.33,8,276
Centro,Embajadores,40.4071255146292,-3.70311426258045,Private room,23,3,2,0.56,2,70
Centro,Palacio,40.420492156355,-3.71069789756248,Entire home/apt,70,2,73,1.74,9,320
Centro,Justicia,40.4229970788985,-3.69444052034431,Entire home/apt,75,3,112,2.69,7,48
Centro,Palacio,40.416434191348,-3.70907443071607,Entire home/apt,123,3,27,0.72,11,296
Centro,Universidad,40.4219838042703,-3.70541888552858,Entire home/apt,120,1,109,2.6,46,292
Carabanchel,Comillas,40.3917185504894,-3.71298360193034,Entire home/apt,80,2,27,0.68,3,82
Chamberí,Almagro,40.4373060372762,-3.69272507206489,Entire home/apt,185,2,8,0.21,40,0
Centro,Embajadores,40.4126365542153,-3.70378100904571,Entire home/apt,49,1,100,2.39,1,326
Salamanca,Castellana,40.4361395596022,-3.68130101106448,Entire home/apt,113,3,46,1.11,1,312
Centro,Sol,40.4195035246987,-3.70068764618171,Entire home/apt,90,4,97,2.39,2,324
Salamanca,Guindalera,40.4320136629509,-3.66672139857306,Entire home/apt,90,3,21,3.13,1,102
Centro,Universidad,40.4257368910473,-3.70674408111488,Entire home/apt,125,3,1,0.04,3,282
Centro,Universidad,40.4208135281267,-3.70536319793665,Entire home/apt,127,1,99,2.37,46,292
Centro,Cortes,40.4165515179459,-3.69439381933439,Private room,65,2,95,2.28,2,63
Puente de Vallecas,Palomeras Bajas,40.3837856729711,-3.65679116003832,Private room,25,3,8,0.26,4,355
Puente de Vallecas,Palomeras Bajas,40.3819525803846,-3.65887552148039,Private room,18,3,14,0.48,4,358
Centro,Embajadores,40.4076812757711,-3.70995472287375,Entire home/apt,45,1,5,0.79,1,308
Chamberí,Gaztambide,40.4315848102537,-3.71549686460681,Private room,300,1,1,0.03,1,365
Centro,Universidad,40.4210203111559,-3.70451817081325,Entire home/apt,89,3,31,0.89,9,245
Centro,Universidad,40.4254414508117,-3.70736065838835,Private room,24,2,92,2.43,1,67
Centro,Cortes,40.4148524930318,-3.69860113045222,Private room,30,2,0,0,1,281
Retiro,Pacífico,40.4034460017876,-3.67780426672121,Entire home/apt,64,1,19,0.47,1,97
Centro,Cortes,40.4129743269196,-3.69784737986638,Entire home/apt,63,3,59,1.48,2,57
Retiro,Ibiza,40.4207114753456,-3.67283212582414,Private room,40,1,10,0.65,1,362
Latina,Puerta del Angel,40.4105004822417,-3.72386085064581,Private room,28,4,8,0.26,1,361
Chamberí,Almagro,40.4279261698317,-3.69497473899085,Entire home/apt,77,2,20,0.65,1,342
Centro,Justicia,40.4246742824504,-3.69992837268408,Entire home/apt,150,2,105,2.83,2,255
Centro,Universidad,40.4247118416683,-3.70606756221214,Private room,30,1,37,0.99,8,306
Centro,Palacio,40.4124041063901,-3.71116853444985,Entire home/apt,75,2,40,0.97,1,269
Centro,Palacio,40.4106911526169,-3.71046383429775,Entire home/apt,105,3,96,2.32,1,147
Centro,Justicia,40.4265419337887,-3.70032898068044,Entire home/apt,185,3,0,0,14,280
Chamberí,Trafalgar,40.431531736918,-3.70062168073686,Entire home/apt,195,1,1,0.1,14,315
Chamberí,Trafalgar,40.4302093371834,-3.70221569545478,Entire home/apt,195,1,0,0,14,122
Chamberí,Trafalgar,40.4315973632245,-3.70187102849723,Entire home/apt,240,1,1,0.03,14,295
Chamberí,Trafalgar,40.4309832406718,-3.7016997905935,Entire home/apt,240,1,2,0.06,14,301
Centro,Palacio,40.4165139326016,-3.7178427529547,Entire home/apt,190,3,46,1.13,1,296
Centro,Cortes,40.41616800711,-3.6980653112504,Private room,38,1,109,2.63,14,318
Centro,Sol,40.4184189499918,-3.70069025261373,Entire home/apt,68,2,231,5.69,7,272
Moncloa - Aravaca,Argüelles,40.4307119466377,-3.71837106594389,Private room,26,1,105,2.73,1,96
Retiro,Ibiza,40.4210863462159,-3.67905886079093,Entire home/apt,70,4,4,0.26,1,256
Centro,Embajadores,40.4121006334864,-3.70023646208752,Private room,35,2,116,2.82,1,318
Centro,Sol,40.4146673121429,-3.70642999318409,Entire home/apt,78,3,52,1.51,2,223
Chamartín,El Viso,40.4511576001271,-3.68926466519742,Private room,22,6,46,1.2,1,209
Centro,Universidad,40.4252638792643,-3.70901628951264,Entire home/apt,115,3,49,1.39,1,306
Chamberí,Almagro,40.4333393005758,-3.69299637552913,Private room,40,1,9,0.38,2,312
Chamberí,Almagro,40.4322758471404,-3.69278117751464,Private room,40,2,1,0.05,2,364
Centro,Palacio,40.4115497446988,-3.713662422286,Entire home/apt,55,4,12,0.31,5,264
Arganzuela,Chopera,40.3964277570402,-3.70080289731437,Private room,17,1,38,2.68,4,315
Chamberí,Trafalgar,40.4364820201938,-3.70192851999409,Entire home/apt,60,4,37,0.91,1,128
Centro,Cortes,40.417848252344,-3.69782503033193,Entire home/apt,96,3,154,3.93,6,244
Centro,Embajadores,40.4099661155777,-3.70342763529789,Entire home/apt,60,1,33,0.83,1,281
Centro,Palacio,40.4109596115995,-3.71058043169937,Entire home/apt,230,1,23,0.67,1,327
Centro,Palacio,40.4224253187273,-3.71026189313578,Entire home/apt,60,2,8,0.35,9,216
Centro,Justicia,40.4267746402638,-3.69761327217991,Private room,40,2,128,3.15,2,65
Centro,Cortes,40.4136048181954,-3.69398258050146,Entire home/apt,88,2,76,1.91,1,319
Centro,Universidad,40.4228752728039,-3.70288631154555,Private room,38,1,154,4.34,5,339
Centro,Universidad,40.4229362738989,-3.70294376520763,Private room,45,1,141,3.48,5,345
Chamartín,Ciudad Jardín,40.4433634865378,-3.67575823553311,Private room,25,20,0,0,2,127
Centro,Embajadores,40.4133358426116,-3.7011171831889,Entire home/apt,70,2,43,1.05,1,329
Centro,Embajadores,40.4103089028986,-3.70331153227742,Entire home/apt,69,2,14,0.47,1,5
Centro,Embajadores,40.4099753371828,-3.70070827237729,Entire home/apt,55,2,7,0.73,3,325
Centro,Embajadores,40.4104811375201,-3.70805724004118,Entire home/apt,84,1,105,2.59,1,304
Centro,Justicia,40.4205090380961,-3.69971230385742,Entire home/apt,500,2,65,1.65,8,102
Arganzuela,Delicias,40.3990029960995,-3.69505358335594,Private room,19,1,23,0.6,1,364
Centro,Justicia,40.4214069266929,-3.69832118792495,Entire home/apt,70,5,16,0.44,1,225
Chamberí,Trafalgar,40.4315747812474,-3.69976688187095,Private room,300,1,0,0,1,365
Centro,Palacio,40.4195506187289,-3.71167065981267,Entire home/apt,80,2,171,4.26,1,214
Centro,Universidad,40.4265113365232,-3.70401270617076,Entire home/apt,40,1,12,0.31,2,287
Retiro,Jerónimos,40.4066522428086,-3.68656335492578,Private room,42,2,111,3.55,1,29
Centro,Embajadores,40.4101316995812,-3.70223340803363,Entire home/apt,95,3,181,4.46,1,234
Centro,Palacio,40.4117440262553,-3.70915158683374,Private room,30,3,0,0,9,0
Centro,Embajadores,40.4090849589356,-3.70474447360407,Entire home/apt,120,3,13,0.39,9,334
Salamanca,Guindalera,40.4346306499854,-3.66982643444564,Private room,19,1,31,0.87,33,279
Puente de Vallecas,Portazgo,40.3872774506038,-3.64698878103719,Private room,26,2,2,0.07,2,319
Centro,Embajadores,40.4070693332718,-3.70847049557049,Private room,55,30,2,0.05,1,280
Centro,Justicia,40.4227512663444,-3.700583854846,Private room,45,1,115,2.83,5,326
Salamanca,Lista,40.4294680341061,-3.67487323920164,Private room,23,20,5,0.74,2,216
Salamanca,Lista,40.4305386028383,-3.67386907213208,Private room,22,90,8,0.75,2,244
Centro,Sol,40.4151069394993,-3.70637325158061,Entire home/apt,149,4,57,1.41,1,320
Centro,Justicia,40.4267288742185,-3.6985410714179,Entire home/apt,72,7,8,0.2,1,41
Centro,Cortes,40.4136400778735,-3.69792273296297,Entire home/apt,500,2,16,0.47,8,341
Moncloa - Aravaca,Argüelles,40.4246231268246,-3.71476384123369,Entire home/apt,70,2,136,3.36,7,313
Chamartín,El Viso,40.4507759445022,-3.68915125905009,Private room,30,3,64,1.62,1,352
Centro,Justicia,40.4229838601416,-3.70035298387444,Private room,39,1,145,3.58,5,326
Centro,Universidad,40.42339184105,-3.7012929677849,Entire home/apt,500,2,20,0.52,8,336
Centro,Embajadores,40.4113762755975,-3.70220045574949,Private room,45,2,98,3.16,1,274
Centro,Embajadores,40.4129952146291,-3.70308281768951,Entire home/apt,80,12,2,0.05,2,72
Centro,Sol,40.4150366351328,-3.70761817230768,Entire home/apt,98,2,77,1.94,12,323
Centro,Embajadores,40.406393082006,-3.69866100476615,Entire home/apt,40,1,300,7.51,2,242
Centro,Cortes,40.4160865913349,-3.70058170243667,Entire home/apt,115,2,207,5.15,23,283
Centro,Universidad,40.4224063942342,-3.70699177189981,Entire home/apt,75,1,116,2.86,46,246
Centro,Embajadores,40.4100519523315,-3.70142976213535,Entire home/apt,49,2,171,4.34,2,315
Centro,Justicia,40.4221176215505,-3.69920560979922,Entire home/apt,62,3,105,2.59,1,315
Arganzuela,Delicias,40.3982616762549,-3.69508959153487,Entire home/apt,55,3,137,3.38,1,154
Moncloa - Aravaca,Casa de Campo,40.4254020163783,-3.72620712115256,Entire home/apt,35,4,8,0.85,1,0
Carabanchel,Comillas,40.392118770601,-3.7137751472289,Private room,22,1,63,3.4,1,70
Hortaleza,Valdefuentes,40.5045837316242,-3.65691543634887,Private room,19,2,15,0.39,2,299
Retiro,Jerónimos,40.4094169289167,-3.69022268594542,Entire home/apt,90,6,3,0.09,1,364
Centro,Universidad,40.4234476527268,-3.70443542863064,Entire home/apt,70,2,121,3.05,23,297
Tetuán,Bellas Vistas,40.4483011647434,-3.70547835949389,Private room,30,7,0,0,2,295
Centro,Universidad,40.4257214106938,-3.70747136187522,Entire home/apt,50,5,51,1.28,1,5
Salamanca,Guindalera,40.435871738867,-3.67167183348667,Private room,19,30,72,1.79,33,343
Latina,Puerta del Angel,40.4121473524855,-3.72994103908829,Entire home/apt,42,3,21,0.57,1,310
Centro,Palacio,40.4085849787555,-3.71066864182138,Entire home/apt,65,3,79,1.99,1,336
Retiro,Adelfas,40.4000394333735,-3.67387078806394,Private room,35,2,5,0.16,2,363
Ciudad Lineal,Ventas,40.4310461021568,-3.65584192383518,Entire home/apt,65,7,2,0.06,1,365
Tetuán,Berruguete,40.4605937995113,-3.7026030035039,Entire home/apt,60,6,7,0.23,1,346
Centro,Embajadores,40.4089837277496,-3.7087159871566,Entire home/apt,80,3,74,1.85,4,271
Barajas,Casco Histórico de Barajas,40.4718936809448,-3.57709488783328,Private room,25,1,149,3.79,1,281
Puente de Vallecas,San Diego,40.3958630213142,-3.66824455456378,Entire home/apt,49,2,32,0.88,1,267
Centro,Cortes,40.4166967306072,-3.69928275980378,Entire home/apt,85,3,46,1.27,1,323
Chamberí,Rios Rosas,40.4408105349541,-3.69417428021061,Entire home/apt,57,4,60,1.76,1,188
Centro,Universidad,40.4234121982278,-3.70873250570763,Entire home/apt,59,5,152,3.82,1,288
Centro,Sol,40.4195033307939,-3.70417112148136,Entire home/apt,75,12,35,0.94,2,125
Centro,Sol,40.4187838692583,-3.70257900929528,Entire home/apt,85,2,2,0.05,8,279
Centro,Sol,40.4192850955515,-3.7011911348861,Entire home/apt,90,2,1,0.07,8,285
Centro,Sol,40.4195194200501,-3.70218082777609,Entire home/apt,120,2,1,0.04,8,298
Centro,Sol,40.41925248974,-3.70183675457859,Entire home/apt,100,2,2,0.06,8,301
Centro,Sol,40.4192934838105,-3.70195141615906,Entire home/apt,145,2,1,0.04,8,305
Centro,Sol,40.4186919120868,-3.70229958494491,Entire home/apt,110,2,5,0.13,8,320
Centro,Palacio,40.4097051756023,-3.71356119288411,Private room,20,3,20,0.6,4,158
Centro,Sol,40.419976938184,-3.70321300322105,Entire home/apt,75,2,4,3.24,1,297
Centro,Justicia,40.423431488818,-3.70008619535006,Private room,19,1,11,0.29,3,339
Centro,Justicia,40.4233928500882,-3.70047996140033,Entire home/apt,75,2,38,1.02,3,340
Arganzuela,Chopera,40.3967485414258,-3.6984647866832,Private room,50,2,16,0.44,1,365
Centro,Universidad,40.4226935263784,-3.70361454969666,Private room,36,2,152,3.82,1,16
Moncloa - Aravaca,Aravaca,40.4548057196236,-3.78269329299425,Private room,50,1,0,0,1,365
Centro,Embajadores,40.4103292362562,-3.70784269676605,Private room,45,2,29,0.73,7,348
Centro,Sol,40.4194724480068,-3.70170874468646,Entire home/apt,250,3,15,0.4,8,287
Centro,Palacio,40.4119585946561,-3.71190620359927,Entire home/apt,150,5,19,0.77,11,341
Centro,Sol,40.4193287523458,-3.70618477535175,Entire home/apt,68,3,34,0.89,5,336
Retiro,Pacífico,40.406981057308,-3.67555055215778,Entire home/apt,800,2,22,0.6,12,363
Centro,Embajadores,40.4073497723288,-3.70718268784816,Private room,33,3,165,4.29,3,324
Retiro,Pacífico,40.4053985181385,-3.6771653287676,Entire home/apt,40,2,21,0.67,1,181
Centro,Embajadores,40.4093984344337,-3.69758420364835,Private room,34,2,4,0.67,2,316
Centro,Palacio,40.4153789783495,-3.71098797516007,Entire home/apt,102,3,14,0.44,11,162
Centro,Universidad,40.4220865834335,-3.70230235831279,Entire home/apt,46,3,122,3.1,3,256
Centro,Sol,40.4159205863615,-3.704614882052,Private room,59,2,99,2.61,12,170
Carabanchel,San Isidro,40.3963714006774,-3.7280904531151,Private room,16,20,4,0.21,1,337
Centro,Sol,40.416974242926,-3.70401054446898,Entire home/apt,59,2,154,3.96,12,158
Centro,Sol,40.4154342262632,-3.70548282433946,Entire home/apt,55,2,135,3.51,12,153
Centro,Universidad,40.4242586803345,-3.70700759351157,Entire home/apt,95,1,2,0.06,5,261
Centro,Sol,40.4199108904508,-3.7053737068374,Entire home/apt,59,2,47,1.19,5,347
Centro,Sol,40.419392724566,-3.70545735283252,Entire home/apt,55,2,69,1.74,5,325
Centro,Sol,40.4199103052601,-3.7065944436916,Entire home/apt,99,2,6,0.15,5,349
Chamberí,Trafalgar,40.4306976462088,-3.7029166168855,Entire home/apt,78,4,4,0.1,1,361
Centro,Sol,40.4192744731041,-3.70194071685011,Entire home/apt,150,2,12,0.3,8,309
Centro,Justicia,40.4219334276328,-3.70071074230705,Entire home/apt,55,2,91,2.98,12,64
Centro,Sol,40.4141519871699,-3.70500404941442,Entire home/apt,199,2,140,3.6,3,276
Centro,Embajadores,40.4093841568392,-3.70415253623314,Entire home/apt,49,2,93,2.36,2,313
Centro,Palacio,40.4152072144203,-3.71730136567322,Entire home/apt,375,3,26,0.72,6,317
Centro,Justicia,40.42309465561,-3.69935356874372,Entire home/apt,75,1,123,3.11,9,265
Chamberí,Rios Rosas,40.4392531600346,-3.6975431607743,Entire home/apt,82,3,46,1.18,2,264
Arganzuela,Imperial,40.4027539321713,-3.71672236034361,Private room,25,2,5,0.13,2,337
Centro,Cortes,40.41477873016,-3.69790326468372,Entire home/apt,66,2,4,0.15,3,342
Centro,Justicia,40.4243604220862,-3.70004016339098,Entire home/apt,60,2,101,2.54,5,320
Tetuán,Almenara,40.4666115872087,-3.69058889735931,Private room,31,1,26,0.74,6,341
Centro,Universidad,40.4208079866714,-3.70649915732349,Entire home/apt,120,1,9,0.23,3,291
Chamartín,Ciudad Jardín,40.4468215318245,-3.67449649326205,Entire home/apt,55,7,0,0,1,115
Centro,Palacio,40.4149134935513,-3.72161287958801,Entire home/apt,50,2,16,0.43,2,250
Centro,Justicia,40.4206232815796,-3.69886143323081,Private room,36,3,78,2.17,1,320
Centro,Sol,40.4150156873528,-3.70763131989049,Private room,25,1,27,0.8,12,357
Centro,Palacio,40.4146108425904,-3.70805580676296,Shared room,20,1,69,1.98,12,342
Centro,Palacio,40.4146471283959,-3.70803619875475,Private room,60,1,8,0.24,12,323
Usera,San Fermín,40.3797791686707,-3.69120055343702,Private room,21,2,12,0.35,2,332
Centro,Sol,40.4152834466547,-3.7067416360708,Private room,100,1,15,0.46,12,326
Centro,Sol,40.4149959285779,-3.7069224585588,Shared room,24,1,26,0.75,12,362
Centro,Sol,40.4148489394279,-3.70634285209486,Private room,100,1,2,0.07,12,280
Centro,Sol,40.4151606072964,-3.70792796709565,Shared room,22,1,40,1.22,12,347
Centro,Sol,40.414536885847,-3.70787841138138,Shared room,22,1,55,1.58,12,354
Centro,Sol,40.4153225550107,-3.70789379910927,Shared room,21,1,27,0.78,12,353
Usera,Orcasur,40.3802463249652,-3.69224225364893,Private room,26,2,24,0.66,2,321
Centro,Embajadores,40.4140860039853,-3.70334377960544,Entire home/apt,150,3,31,0.92,1,100
Centro,Sol,40.4167703907346,-3.70801527577435,Entire home/apt,85,2,24,0.64,40,0
Centro,Sol,40.4157768739594,-3.70784637249282,Entire home/apt,85,2,15,0.39,40,0
Centro,Sol,40.4157815621385,-3.70672046013341,Entire home/apt,85,2,36,0.95,40,0
Centro,Sol,40.4165206599291,-3.70725608878679,Entire home/apt,85,2,17,0.46,40,0
Centro,Sol,40.41702856896,-3.70819173198975,Entire home/apt,85,2,13,0.35,40,0
Centro,Sol,40.4173843437372,-3.7080869336788,Entire home/apt,85,2,27,0.7,40,0
Centro,Sol,40.4154180335514,-3.70712273934713,Entire home/apt,85,2,9,0.24,40,0
Centro,Palacio,40.4165023659416,-3.70865794020577,Entire home/apt,85,2,3,0.08,40,0
Retiro,Niño Jesús,40.4143301309284,-3.67387916822533,Entire home/apt,105,3,3,0.08,18,289
Centro,Embajadores,40.4093398225629,-3.70226875479268,Entire home/apt,49,2,167,4.54,4,313
Chamberí,Arapiles,40.4309154426517,-3.70858486492324,Entire home/apt,50,2,6,0.16,26,313
Salamanca,Goya,40.427631128626,-3.6734484411222,Private room,39,1,7,0.61,1,365
Centro,Sol,40.4158787642562,-3.70225676172088,Entire home/apt,90,1,186,4.78,23,112
Centro,Palacio,40.4210418066842,-3.70843921457561,Entire home/apt,59,2,9,0.39,1,148
Centro,Embajadores,40.4114295640668,-3.70660523722402,Entire home/apt,50,2,134,3.71,4,304
Centro,Justicia,40.422058293207,-3.70073007892237,Entire home/apt,85,5,51,1.34,1,122
Centro,Embajadores,40.410817745312,-3.69763473738005,Entire home/apt,55,2,104,2.81,4,306
Centro,Cortes,40.4150615149241,-3.70036533011053,Entire home/apt,85,3,10,0.29,12,304
Centro,Cortes,40.4168168978064,-3.70008193852529,Entire home/apt,80,3,15,0.49,12,330
Tetuán,Castillejos,40.4610112828484,-3.69031100568783,Entire home/apt,65,3,55,1.43,4,331
Hortaleza,Canillas,40.465241272611,-3.65793476032036,Entire home/apt,100,6,17,0.5,1,222
Centro,Universidad,40.4277901911855,-3.70375852201263,Entire home/apt,116,4,85,2.23,5,179
Chamberí,Almagro,40.4297025108982,-3.69383315202335,Private room,45,1,0,0,10,97
Centro,Embajadores,40.4082056081748,-3.69995078908232,Entire home/apt,70,3,177,4.71,1,300
Carabanchel,Comillas,40.388233787837,-3.71489592961302,Private room,18,3,34,0.92,1,355
Retiro,Adelfas,40.4016932980601,-3.6681421930104,Private room,22,1,13,0.59,1,93
Ciudad Lineal,San Pascual,40.4458342068073,-3.64990583529818,Entire home/apt,78,5,34,0.93,1,281
Chamberí,Arapiles,40.4311081654527,-3.71011988911615,Entire home/apt,60,2,1,0.04,26,317
Centro,Embajadores,40.4125363614557,-3.70167174761869,Private room,25,2,39,1.02,1,326
Centro,Universidad,40.4255611330266,-3.70524013809686,Private room,18,3,13,0.43,5,46
Centro,Justicia,40.4252841846123,-3.69983977913051,Entire home/apt,36,3,31,1.03,5,342
Salamanca,Fuente del Berro,40.4231083852325,-3.6675669968741,Entire home/apt,75,1,17,0.47,5,362
Chamberí,Gaztambide,40.4311636194519,-3.71286926521841,Entire home/apt,49,2,108,2.81,1,241
Arganzuela,Palos de Moguer,40.404664239079,-3.69663898209891,Private room,28,1,42,2.23,1,362
Centro,Universidad,40.4208940541927,-3.70380292025871,Entire home/apt,115,3,33,1.11,2,348
Latina,Puerta del Angel,40.4139705184718,-3.72346446923163,Private room,20,1,10,0.27,9,346
Chamartín,Castilla,40.4697901802609,-3.68306050956183,Private room,32,1,154,4.12,3,172
Centro,Universidad,40.4223659934832,-3.7012584476491,Entire home/apt,45,3,86,2.34,2,275
Moncloa - Aravaca,Argüelles,40.4247193289394,-3.71527912584343,Entire home/apt,78,3,75,1.94,7,24
Centro,Cortes,40.415135381526,-3.69830976674072,Private room,20,2,10,0.33,9,361
Centro,Justicia,40.4213428565531,-3.69880046072931,Entire home/apt,75,3,149,4.45,3,265
Centro,Justicia,40.4220844267588,-3.70079792115086,Entire home/apt,140,2,1,0.03,11,307
Centro,Embajadores,40.4103303316907,-3.70688479671406,Private room,34,2,70,1.84,1,99
Centro,Palacio,40.4158444633319,-3.70958047288423,Entire home/apt,99,3,48,1.57,2,294
Tetuán,Castillejos,40.4569122122124,-3.69301646521146,Entire home/apt,80,3,5,0.26,2,364
Centro,Embajadores,40.4110224492466,-3.70255251516424,Private room,29,2,39,2.09,2,79
Centro,Embajadores,40.4126990193967,-3.7065741796364,Entire home/apt,67,2,1,0.17,11,292
Centro,Embajadores,40.4105503894003,-3.7062127203566,Entire home/apt,70,2,158,4.13,2,287
Latina,Puerta del Angel,40.4093327206618,-3.72537113688835,Private room,12,4,15,0.43,11,365
Chamartín,Castilla,40.4678449071712,-3.68612176361502,Entire home/apt,108,4,38,1.01,4,330
Centro,Embajadores,40.4083127340151,-3.70366268106775,Entire home/apt,85,2,14,0.37,1,0
Centro,Cortes,40.414949984924,-3.70097222587086,Entire home/apt,66,2,2,0.09,3,325
Centro,Cortes,40.4153449984342,-3.70030953850187,Entire home/apt,61,2,5,0.23,3,331
Centro,Universidad,40.4203931138953,-3.70546966088377,Entire home/apt,60,1,32,0.85,3,287
Centro,Embajadores,40.4128165361474,-3.70224079805201,Entire home/apt,100,2,0,0,11,329
Centro,Cortes,40.4148498343741,-3.70171591050351,Entire home/apt,55,5,89,2.3,1,0
Arganzuela,Delicias,40.3986429106618,-3.69397190543441,Private room,25,1,119,4.19,1,340
Centro,Embajadores,40.4110885308267,-3.70837546232914,Entire home/apt,57,3,8,0.46,2,268
Centro,Embajadores,40.4104817801303,-3.69727243071979,Entire home/apt,65,1,144,3.75,8,300
Centro,Sol,40.4162070770309,-3.70770634502411,Entire home/apt,200,1,0,0,1,365
Centro,Universidad,40.4251994414827,-3.70701299912919,Entire home/apt,69,4,95,2.74,2,298
Centro,Sol,40.4192791093628,-3.70322469515034,Entire home/apt,75,12,29,0.8,2,96
Usera,Orcasur,40.3749360499561,-3.70187559482632,Private room,80,1,0,0,1,365
Salamanca,Guindalera,40.43566341806,-3.67115573245336,Private room,19,1,24,0.63,33,279
Tetuán,Almenara,40.46901906926,-3.68974205117896,Private room,19,2,44,1.17,3,327
